p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
Hauptbahnhof,True,51.040476453474,120,,False,frame_lock,4313,93264,0,,True,True,15,dresden,"{""15"": 1}",,13.733623623848,True,1,ok,0,start,,7551003799,0,2019-04-08 10:57:00,0,False
Albertplatz,True,51.063895958845,2985,,False,frame_lock,4302,93264,0,,True,True,15,dresden,"{""15"": 1}",,13.74731361866,False,1,ok,0,end,,7551003799,0,2019-04-08 11:15:00,0,False
Albertplatz,True,51.063895958845,2985,,False,frame_lock,4302,93264,0,,True,True,15,dresden,"{""15"": 1}",,13.74731361866,False,1,ok,0,start,,7551003799,0,2019-04-08 12:08:00,0,False
BIKE 93264,True,51.06452,14228586,,False,frame_lock,0,93264,0,,True,False,15,dresden,"{""15"": 1}",,13.748842222222,False,1,ok,0,end,,7551003799,0,2019-04-08 12:18:00,12,True
BIKE 93264,True,51.064955555556,14228586,,False,frame_lock,0,93264,0,,True,False,15,dresden,"{""15"": 1}",,13.748462222222,False,1,ok,0,start,,7551003799,0,2019-04-08 15:44:00,12,True
BIKE 93264,True,51.064955555556,14228586,,False,frame_lock,0,93264,0,,True,False,15,dresden,"{""15"": 1}",,13.748462222222,False,1,ok,0,end,,7551003799,0,2019-04-08 15:51:00,12,True
BIKE 93264,True,51.064324444444,14228586,,False,frame_lock,0,93264,0,,True,False,15,dresden,"{""15"": 1}",,13.748998888889,False,1,ok,0,start,,7551003799,0,2019-04-08 18:03:00,12,True
BIKE 93264,True,51.057062222222,14248707,,False,frame_lock,0,93264,0,,True,False,15,dresden,"{""15"": 1}",,13.738887777778,False,1,ok,0,end,,7551003799,0,2019-04-08 18:19:00,12,True
BIKE 93264,True,51.057186666667,14248707,,False,frame_lock,0,93264,0,,True,False,15,dresden,"{""15"": 1}",,13.73914,False,1,ok,0,last,,7551003799,0,2019-04-08 23:59:00,12,True
Andreas-Pfitzmann-Bau,True,51.025619416653,4405708,traffic_sign,False,frame_lock,4461,93829,0,,True,True,71,dresden,"{""71"": 5}",,13.723919391632,False,5,ok,0,first,,7551012969,0,2019-04-08 12:43:00,0,False
Andreas-Pfitzmann-Bau,True,51.025619416653,4405708,traffic_sign,False,frame_lock,4461,93829,0,,True,True,71,dresden,"{""71"": 1}",,13.723919391632,False,1,ok,0,start,,7551012969,0,2019-04-08 13:11:00,0,False
BIKE 93829,True,51.030164444444,14231323,,False,frame_lock,0,93829,0,,True,False,71,dresden,"{""71"": 1}",,13.725733333333,False,1,ok,0,end,,7551012969,0,2019-04-08 13:15:00,12,True
BIKE 93829,True,51.0298,14231323,,False,frame_lock,0,93829,0,,True,False,71,dresden,"{""71"": 1}",,13.726013333333,False,1,ok,0,start,,7551012969,0,2019-04-08 13:17:00,12,True
Münchner Platz / George-Bähr-Str.,True,51.02962,4405733,traffic_sign,False,frame_lock,4462,93829,0,,True,True,71,dresden,"{""71"": 1}",,13.72327,False,1,ok,0,end,,7551012969,0,2019-04-08 13:58:00,0,False
Münchner Platz / George-Bähr-Str.,True,51.02962,4405733,traffic_sign,False,frame_lock,4462,93829,0,,True,True,71,dresden,"{""71"": 1}",,13.72327,False,1,ok,0,start,,7551012969,0,2019-04-08 13:59:00,0,False
Sächsische Landesbibliothek,True,51.028932638124,637839,free,False,frame_lock,4441,93829,0,,True,True,71,dresden,"{""71"": 1, ""15"": 1}",,13.736386299133,False,2,ok,0,end,,7551012969,0,2019-04-08 14:03:00,0,False
Sächsische Landesbibliothek,True,51.028932638124,637839,free,False,frame_lock,4441,93829,0,,True,True,71,dresden,"{""71"": 1, ""15"": 1}",,13.736386299133,False,2,ok,0,start,,7551012969,0,2019-04-08 14:06:00,0,False
BIKE 93829,True,51.039266666667,14234453,,False,frame_lock,0,93829,0,,True,False,71,dresden,"{""71"": 1}",,13.731748888889,False,1,ok,0,end,,7551012969,0,2019-04-08 14:15:00,12,True
BIKE 93829,True,51.039266666667,14234453,,False,frame_lock,0,93829,0,,True,False,71,dresden,"{""71"": 1}",,13.731746666667,False,1,ok,0,start,,7551012969,0,2019-04-08 15:44:00,12,True
BIKE 93829,True,51.039266666667,14234453,,False,frame_lock,0,93829,0,,True,False,71,dresden,"{""71"": 1}",,13.731746666667,False,1,ok,0,end,,7551012969,0,2019-04-08 15:51:00,12,True
BIKE 93829,True,51.039266666667,14234453,,False,frame_lock,0,93829,0,,True,False,71,dresden,"{""71"": 1}",,13.731746666667,False,1,ok,0,start,,7551012969,0,2019-04-08 16:00:00,12,True
Manitiusstraße,True,51.05658,10299726,free,False,frame_lock,4496,93829,0,,True,True,71,dresden,"{""undefined"": 1, ""71"": 1, ""15"": 3}",,13.71493,False,5,ok,0,end,,7551012969,0,2019-04-08 16:43:00,0,False
Manitiusstraße,True,51.05658,10299726,free,False,frame_lock,4496,93829,0,,True,True,71,dresden,"{""71"": 1, ""15"": 4}",,13.71493,False,5,ok,0,start,,7551012969,0,2019-04-08 23:38:00,0,False
Hauptbahnhof,True,51.040476453474,120,,False,frame_lock,4313,93829,0,,True,True,71,dresden,"{""71"": 1}",,13.733623623848,True,1,ok,0,end,,7551012969,0,2019-04-08 23:48:00,0,False
Hauptbahnhof,True,51.040476453474,120,,False,frame_lock,4313,93829,0,,True,True,71,dresden,"{""71"": 1}",,13.733623623848,True,1,ok,0,last,,7551012969,0,2019-04-08 23:50:00,0,False
BIKE 93616,True,51.06024,14186477,,False,frame_lock,0,93616,0,,True,False,15,dresden,"{""15"": 1}",,13.744114444444,False,1,ok,0,first,,7551006429,0,2019-04-08 00:00:00,12,True
BIKE 93616,True,51.06024,14186477,,False,frame_lock,0,93616,0,,True,False,15,dresden,"{""15"": 1}",,13.743906666667,False,1,ok,0,start,,7551006429,0,2019-04-08 15:44:00,12,True
BIKE 93616,True,51.06024,14186477,,False,frame_lock,0,93616,0,,True,False,15,dresden,"{""15"": 1}",,13.743906666667,False,1,ok,0,end,,7551006429,0,2019-04-08 15:51:00,12,True
BIKE 93616,True,51.06024,14186477,,False,frame_lock,0,93616,0,,True,False,15,dresden,"{""15"": 1}",,13.744176666667,False,1,ok,0,start,,7551006429,0,2019-04-08 18:31:00,12,True
Schauburg,True,51.071143657107,121771,,False,frame_lock,4327,93616,0,,True,True,15,dresden,"{""undefined"": 2, ""15"": 3}",,13.750328421593,False,5,ok,0,end,,7551006429,0,2019-04-08 19:02:00,0,False
Schauburg,True,51.071143657107,121771,,False,frame_lock,4327,93616,0,,True,True,15,dresden,"{""undefined"": 2, ""15"": 3}",,13.750328421593,False,5,ok,0,start,,7551006429,0,2019-04-08 20:05:00,0,False
Friedensstraße/Conradstr.,True,51.071740277519,264575,,False,frame_lock,4373,93616,0,,True,True,15,dresden,"{""71"": 1, ""15"": 2}",,13.741257190704,False,3,ok,0,end,,7551006429,0,2019-04-08 20:10:00,0,False
Friedensstraße/Conradstr.,True,51.071740277519,264575,,False,frame_lock,4373,93616,0,,True,True,15,dresden,"{""71"": 2, ""15"": 3}",,13.741257190704,False,5,ok,0,last,,7551006429,0,2019-04-08 23:59:00,0,False
BIKE 93042,True,51.070026666667,14206282,,False,frame_lock,0,93042,0,,True,False,15,dresden,"{""15"": 1}",,13.761348888889,False,1,ok,0,first,,7551004076,0,2019-04-08 00:00:00,12,True
BIKE 93042,True,51.070417777778,14206282,,False,frame_lock,0,93042,0,,True,False,15,dresden,"{""15"": 1}",,13.760955555556,False,1,ok,0,last,,7551004076,0,2019-04-08 10:16:00,12,True
DVB Endpunkt Laubegast,True,51.022778359957,264566,stele,False,frame_lock,4365,93320,0,,True,True,15,dresden,"{""undefined"": 2, ""71"": 1, ""15"": 2}",,13.838900327682,False,5,ok,0,first,,7551002364,6,2019-04-08 00:46:00,0,False
DVB Endpunkt Laubegast,True,51.022778359957,264566,stele,False,frame_lock,4365,93320,0,,True,True,15,dresden,"{""undefined"": 2, ""71"": 1, ""15"": 2}",,13.838900327682,False,5,ok,0,start,,7551002364,6,2019-04-08 03:51:00,0,False
DVB Endpunkt Laubegast,True,51.022778359957,264566,stele,False,frame_lock,4365,93320,0,,True,True,15,dresden,"{""undefined"": 1, ""71"": 1, ""15"": 3}",,13.838900327682,False,5,ok,0,end,,7551002364,6,2019-04-08 06:50:00,0,False
DVB Endpunkt Laubegast,True,51.022778359957,264566,stele,False,frame_lock,4365,93320,1,,True,True,15,dresden,"{""undefined"": 1, ""71"": 1, ""15"": 3}",,13.838900327682,False,5,ok,0,start,,7551002364,6,2019-04-08 15:44:00,0,False
