p_spot,b_lock_types,p_maintenance,p_bike_racks,p_terminal_type,p_place_type,p_number,p_rack_locks,p_uid,b_battery_pack,b_state,b_number,p_free_racks,b_boardcomputer,datetime,p_lng,p_address,b_active,b_electric_lock,p_bike,p_bikes,trip,city,p_booked_bikes,p_name,b_bike_type,p_lat,b_pedelec_battery,p_bike_types
True,frame_lock,False,0,free,0,4481,False,10299537,,ok,93728,0,7551005500,2019-03-28 00:00:00,13.712477087975,,True,True,False,5,first,dresden,0,Cottaer Straße (Haltestelle),15,51.050166045123,0,"{""undefined"": 3, ""15"": 2}"
True,frame_lock,False,0,free,0,4481,False,10299537,,ok,93728,0,7551005500,2019-03-28 01:46:00,13.712477087975,,True,True,False,5,start,dresden,0,Cottaer Straße (Haltestelle),15,51.050166045123,0,"{""undefined"": 3, ""15"": 2}"
True,frame_lock,False,0,free,0,4481,False,10299537,,ok,93728,0,7551005500,2019-03-28 09:08:00,13.712477087975,,True,True,False,5,end,dresden,0,Cottaer Straße (Haltestelle),15,51.050166045123,0,"{""undefined"": 2, ""15"": 3}"
True,frame_lock,False,0,free,0,4481,False,10299537,,ok,93728,0,7551005500,2019-03-28 22:14:00,13.712477087975,,True,True,False,5,last,dresden,0,Cottaer Straße (Haltestelle),15,51.050166045123,,"{""undefined"": 2, ""15"": 3}"
False,frame_lock,False,0,,12,0,False,13760059,,ok,93702,0,7551005502,2019-03-28 00:00:00,13.751728888889,,True,True,True,1,first,dresden,0,BIKE 93702,15,51.078026666667,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13777637,,ok,93702,0,7551005502,2019-03-28 18:27:00,13.752003333333,Stauffenbergallee,True,True,True,1,start,dresden,0,BIKE 93702,15,51.077742222222,,"{""15"": 1}"
True,frame_lock,False,0,,0,4327,False,121771,,ok,93702,0,7551005502,2019-03-28 18:36:00,13.750328421593,,True,True,False,3,end,dresden,0,Schauburg,15,51.071143657107,,"{""undefined"": 1, ""15"": 2}"
True,frame_lock,False,0,,0,4327,False,121771,,ok,93702,0,7551005502,2019-03-28 19:08:00,13.750328421593,,True,True,False,4,start,dresden,0,Schauburg,15,51.071143657107,,"{""undefined"": 2, ""15"": 2}"
True,frame_lock,False,0,,0,4374,False,264576,,ok,93702,0,7551005502,2019-03-28 19:14:00,13.751809000969,,True,True,False,4,end,dresden,0,Alaunstraße,15,51.066946872474,,"{""undefined"": 2, ""15"": 2}"
True,frame_lock,False,0,,0,4374,False,264576,,ok,93702,0,7551005502,2019-03-28 21:31:00,13.751809000969,,True,True,False,5,start,dresden,0,Alaunstraße,15,51.066946872474,,"{""undefined"": 3, ""15"": 2}"
