p_spot,b_lock_types,p_maintenance,p_bike_racks,p_terminal_type,p_place_type,p_number,p_rack_locks,p_uid,b_battery_pack,b_state,b_number,p_free_racks,b_boardcomputer,datetime,p_lng,p_address,b_active,b_electric_lock,p_bike,p_bikes,city,trip,p_booked_bikes,p_name,b_bike_type,p_lat,b_pedelec_battery,p_bike_types
False,frame_lock,False,0,,12,0,False,13848291,,ok,93695,0,7551004054,2019-03-30 13:45:00,13.734615555556,Sophienstraße,True,True,True,1,dresden,start,0,BIKE 93695,15,51.052137777778,,"{""15"": 1}"
True,frame_lock,False,0,,0,4397,False,264604,,ok,93695,0,7551004054,2019-03-30 14:01:00,13.787949085236,,True,True,False,1,dresden,end,0,Händelallee,15,51.059914298409,,"{""15"": 1}"
True,frame_lock,False,0,,0,4397,False,264604,,ok,93695,0,7551004054,2019-03-30 15:38:00,13.787949085236,,True,True,False,1,dresden,start,0,Händelallee,15,51.059914298409,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13861094,,ok,93695,0,7551004054,2019-03-30 15:50:00,13.807192222222,,True,True,True,1,dresden,end,0,BIKE 93695,15,51.052017777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13861094,,ok,93695,0,7551004054,2019-03-30 16:06:00,13.807192222222,,True,True,True,1,dresden,start,0,BIKE 93695,15,51.052017777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13863558,,ok,93695,0,7551004054,2019-03-30 16:36:00,13.741458888889,,True,True,True,1,dresden,end,0,BIKE 93695,15,51.056297777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13863558,,ok,93695,0,7551004054,2019-03-30 23:59:00,13.741494444444,,True,True,True,1,dresden,last,0,BIKE 93695,15,51.056217777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13850774,,ok,93470,0,7551006364,2019-03-30 12:23:00,13.839671111111,,True,True,True,1,dresden,first,0,BIKE 93470,0,51.032617777778,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13850774,,ok,93470,0,7551006364,2019-03-30 12:28:00,13.839671111111,,True,True,True,1,dresden,start,0,BIKE 93470,0,51.032617777778,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13855948,,ok,93470,0,7551006364,2019-03-30 14:11:00,13.752807777778,,True,True,True,1,dresden,end,0,BIKE 93470,0,51.070737777778,,"{""undefined"": 1}"
